ConstellationID	ConstellationShortName	ConstellationFullName	NumConn
UMa	UMa	UMa	19	67301	65378	65378	62956	62956	59774	59774	54061	54061	53910	53910	58001	58001	59774	58001	57399	57399	54539	54539	50372	54539	50801	53910	48402	48402	46853	46853	44471	46853	44127	48402	48319	48319	41704	41704	46733	46733	54061
Leo	Leo	Leo	10	57632	54879	54879	49669	49669	49583	49583	50583	50583	54872	54872	57632	50583	50335	50335	48455	48455	47908	54872	54879
Ori	Ori	Orion	23	26727	26311	26311	25930	29434	29426	29434	28716	28716	27913	29426	29038	29038	27913	29426	28614	28614	27989	27989	26727	26727	27366	27366	24436	24436	25930	25930	25336	25336	26207	26207	27989	25336	22449	22449	22549	22549	22730	22730	23123	22449	22509	22509	22845	29038	28614
Boo	Boo	Boötes	18	67275	67459	67459	67927	67927	69673	69673	71795	71795	72105	72105	69673	72105	74666	74666	75411	75411	73555	73555	74666	73555	71075	71075	71053	71053	71284	71284	72105	71075	69732	69732	70497	70497	69483	69483	69732
CrB	CrB	Corona Borealis	5	76127	75695	75695	76267	76267	76952	76952	77512	77512	78159
Cas	Cas	Cassiopeia	5	9598	8886	8886	6686	6686	4427	4427	3179	3179	746
UMi	UMi	Ursa Minor	7	11767	85822	85822	82080	82080	77055	77055	79822	79822	75097	75097	72607	72607	77055
